,id,latitude,longitude
160,984660,        33.3061605 ,      -111.8412502 
161,33955,        40.4258686 ,       -86.9080655 
162,984392,        48.7595529 ,      -122.4882249 
163,984396,         32.735687 ,       -97.1080656 
164,984412,        42.3726399 ,       -71.1096528 
165,984424,                   ,                   
166,984436,        41.8781136 ,       -87.6297982 
167,984447,         35.410694 ,       -80.8428504 
168,984460,                   ,                   
169,984378,                   ,                   
170,984493,        33.4483771 ,      -112.0740373 
171,984589,        32.2217429 ,       -110.926479 
172,984739,        33.4483771 ,      -112.0740373 
173,984512,                   ,                   
174,984546,        33.4483771 ,      -112.0740373 
175,984400,        38.7521235 ,      -121.2880059 
176,984384,        33.3061605 ,      -111.8412502 
177,984485,                   ,                   
178,984827,                   ,                   
179,984754,        31.9575818 ,       -110.955646 
180,983838,        38.8048355 ,       -77.0469214 
181,984802,                   ,                   
182,984423,        35.2827524 ,      -120.6596156 
183,984811,        41.8781136 ,       -87.6297982 
184,984784,                   ,                   
185,984841,                   ,                   
186,984449,                   ,                   
187,984502,         36.114646 ,       -115.172816 
188,984473,                   ,                   
189,984534,        40.7143528 ,       -74.0059731 
190,984497,        40.7439905 ,       -74.0323626 
191,984585,                   ,                   
192,984556,        33.4483771 ,      -112.0740373 
193,984640,        41.8781136 ,       -87.6297982 
194,984592,                   ,                   
195,984603,        32.7153292 ,      -117.1572551 
196,984617,                   ,                   
197,984679,                   ,                   
198,984650,        42.0697509 ,       -87.7878408 
199,984662,        40.8517662 ,        -74.229035 
200,984629,        39.0638705 ,      -108.5506486 
201,984503,        35.8456213 ,         -86.39027 
202,984516,        33.9462125 ,       -84.3346473 
203,984535,                   ,                   
204,984540,         30.267153 ,       -97.7430608 
205,984557,                   ,                   
206,984570,                   ,                   
207,984584,        43.5867164 ,      -116.1956556 
208,984598,                   ,                   
209,11803,                   ,                   
210,984606,         30.267153 ,       -97.7430608 
211,984618,        34.0194543 ,      -118.4911912 
212,984632,                   ,                   
213,984644,        40.7143528 ,       -74.0059731 
214,984667,                   ,                   
215,984525,                   ,                   
216,984581,                   ,                   
217,984615,        41.8781136 ,       -87.6297982 
218,984600,                   ,                   
219,984634,                   ,                   
220,984654,        41.8781136 ,       -87.6297982 
221,984676,                   ,                   
222,984683,        39.4014955 ,       -76.6019125 
223,984701,                   ,                   
224,984506,                   ,                   
225,984487,                   ,                   
226,984569,                   ,                   
227,984559,        38.8951118 ,       -77.0363658 
228,984541,                   ,                   
229,984494,         36.114646 ,       -115.172816 
230,984228,        41.8781136 ,       -87.6297982 
231,984157,                   ,                   
232,984834,        33.4483771 ,      -112.0740373 
233,984875,         40.740389 ,        -73.983385 
234,984904,                   ,                   
235,984857,         36.778261 ,      -119.4179324 
236,984911,        40.7143528 ,       -74.0059731 
237,984845,        45.5392862 ,      -122.3873133 
238,10979,                   ,                   
239,150615,                   ,                   
240,984501,                   ,                   
241,984517,        32.1574351 ,        -82.907123 
242,984538,                   ,                   
243,984565,                   ,                   
244,984573,          37.09024 ,        -95.712891 
245,984578,        32.4609764 ,       -84.9877094 
246,984594,                   ,                   
247,984622,                   ,                   
248,984669,        33.4483771 ,      -112.0740373 
249,984550,        32.8681601 ,       -84.6299029 
250,984652,         33.414768 ,      -111.9093095 
251,984709,        33.3528264 ,       -111.789027 
252,984539,         33.660297 ,      -117.9992265 
253,984580,        37.7141454 ,           -122.25 
254,984520,                   ,                   
255,984595,        43.5867164 ,      -116.1956556 
256,984614,        35.1495343 ,       -90.0489801 
257,984623,        38.5815719 ,      -121.4943996 
258,984601,                   ,                   
259,984627,                   ,                   
260,984649,                   ,                   
261,984666,         30.267153 ,       -97.7430608 
262,984678,                   ,                   
263,984561,        34.0922335 ,       -117.435048 
264,984571,         33.660297 ,      -117.9992265 
265,984553,        35.0768141 ,       -80.6692352 
266,984563,         49.248523 ,         -123.1088 
267,984576,                   ,                   
268,984586,                   ,                   
269,34049,                   ,                   
270,984599,        47.6062095 ,      -122.3320708 
271,984605,          37.60165 ,       -122.016072 
272,984613,        41.5161162 ,       -82.9965425 
273,984625,        40.7062128 ,       -73.6187397 
274,984639,        40.6576022 ,       -73.5831835 
275,984663,                   ,                   
276,984672,         53.344104 ,        -6.2674937 
277,984682,                   ,                   
278,984705,                   ,                   
279,984537,        41.4570418 ,       -72.8231552 
280,984611,        40.2115109 ,       -74.6796651 
281,984677,                   ,                   
282,984620,                   ,                   
283,984633,         30.267153 ,       -97.7430608 
284,984824,        36.1613005 ,       -86.7762673 
285,984810,        38.8951118 ,       -77.0363658 
286,984693,                   ,                   
287,984769,         39.952335 ,        -75.163789 
288,984566,        44.4488805 ,       -88.0603806 
289,984646,        44.9799654 ,       -93.2638361 
290,984795,                   ,                   
291,984547,        41.2938889 ,       -92.6444444 
292,984548,        30.4382559 ,       -84.2807329 
293,984642,         36.114646 ,       -115.172816 
294,984583,         33.414768 ,      -111.9093095 
295,984593,         33.414768 ,      -111.9093095 
296,984628,         33.414768 ,      -111.9093095 
297,985071,        33.1958696 ,      -117.3794834 
298,985063,        33.8752935 ,      -117.5664384 
299,984568,        30.4382559 ,       -84.2807329 
300,984839,                   ,                   
301,984179,        33.4941704 ,      -111.9260519 
302,984433,                   ,                   
303,984805,        33.4483771 ,      -112.0740373 
304,984881,                   ,                   
305,37142,                   ,                   
306,984812,        33.4483771 ,      -112.0740373 
307,984849,        34.0522342 ,      -118.2436849 
308,984417,                   ,                   
309,984913,        32.7153292 ,      -117.1572551 
310,984903,                   ,                   
311,984862,        34.0900091 ,      -117.8903397 
312,984792,                   ,                   
313,984555,        40.7139898 ,       -73.5590157 
314,984562,                   ,                   
315,984577,                   ,                   
316,984591,        41.4901024 ,       -71.3128285 
317,984597,         40.715972 ,        -74.001437 
318,984604,         40.715972 ,        -74.001437 
319,984616,        38.6910138 ,      -121.4485654 
320,984635,                   ,                   
321,984648,        18.3574502 ,       -66.1109998 
322,984651,        39.1064488 ,        -84.478831 
323,34054,         40.740389 ,        -73.983385 
324,984668,                   ,                   
325,984694,        28.5383355 ,       -81.3792365 
326,984731,        32.2732024 ,       -89.9859158 
327,984741,        32.8809603 ,        -97.155012 
328,984572,                   ,                   
329,984582,         33.414768 ,      -111.9093095 
330,984602,                   ,                   
331,984684,        39.7683765 ,       -86.1580423 
332,984699,                   ,                   
333,984719,         32.802955 ,        -96.769923 
334,984735,                   ,                   
335,984743,         30.267153 ,       -97.7430608 
336,984756,                   ,                   
337,984770,                   ,                   
338,984779,        37.6922361 ,       -97.3375448 
339,984789,        35.2270869 ,       -80.8431267 
340,984807,                   ,                   
341,984817,                   ,                   
342,984631,        37.8393332 ,       -84.2700179 
343,984357,        33.4355977 ,      -112.3496021 
344,984797,        35.9606384 ,       -83.9207392 
345,984645,        33.4483771 ,      -112.0740373 
346,984843,                   ,                   
347,984303,        32.8795022 ,      -111.7573521 
348,984742,         42.194543 ,       -71.1994976 
349,984748,        33.4941704 ,      -111.9260519 
350,984518,         36.114646 ,       -115.172816 
351,984657,                   ,                   
352,984630,        33.3061605 ,      -111.8412502 
353,984442,                   ,                   
354,984830,        33.3061605 ,      -111.8412502 
355,983305,        46.0645809 ,      -118.3430209 
356,984688,                   ,                   
357,984822,        33.4941704 ,      -111.9260519 
358,984729,        33.3528264 ,       -111.789027 
359,37516,        37.5629917 ,      -122.3255254 
360,984697,                   ,                   
361,984782,                   ,                   
362,984790,        34.0489281 ,      -111.0937311 
363,984800,                   ,                   
364,984842,        33.4483771 ,      -112.0740373 
365,984833,         33.414768 ,      -111.9093095 
366,984658,                   ,                   
367,984853,                   ,                   
368,984900,        37.5482697 ,      -121.9885719 
369,984916,                   ,                   
370,984696,        32.2217429 ,       -110.926479 
371,984721,        33.3061605 ,      -111.8412502 
372,984524,                   ,                   
373,984823,        33.3528264 ,       -111.789027 
374,984847,                   ,                   
375,984858,                   ,                   
376,984870,        28.5383355 ,       -81.3792365 
377,984888,                   ,                   
378,984909,                   ,                   
379,984929,                   ,                   
380,985150,                   ,                   
381,984752,        33.4222685 ,      -111.8226402 
382,984641,        33.3528264 ,       -111.789027 
383,984621,                   ,                   
384,984636,                   ,                   
385,984647,                   ,                   
386,984664,                   ,                   
387,984681,        43.0389025 ,       -87.9064736 
388,984692,        28.5383355 ,       -81.3792365 
389,984700,                   ,                   
390,984437,        38.8951118 ,       -77.0363658 
391,984456,        31.9685988 ,       -99.9018131 
392,984479,                   ,                   
393,984984,        37.7141454 ,           -122.25 
394,984992,        41.3556539 ,       -72.0995209 
395,984891,                   ,                   
396,984695,                   ,                   
397,984674,        34.1705609 ,      -118.8375937 
398,984704,                   ,                   
399,984407,       -34.6084175 ,       -58.3731613 
400,984339,        40.7143528 ,       -74.0059731 
401,984434,        33.8358492 ,      -118.3406288 
402,984368,         47.735928 ,      -122.6465372 
403,984422,        38.7071247 ,      -121.2810611 
404,984560,        34.1477849 ,      -118.1445155 
405,984452,        34.0900091 ,      -117.8903397 
406,984665,        33.6839473 ,      -117.7946942 
407,984712,                   ,                   
408,984910,        33.4483771 ,      -112.0740373 
409,984673,        37.6940973 ,      -122.0863522 
410,984689,                   ,                   
411,984706,                   ,                   
412,984711,                   ,                   
413,38078,                   ,                   
414,984725,        43.0389025 ,       -87.9064736 
415,984730,        44.8046825 ,       -91.4432148 
416,984762,                   ,                   
417,984938,        32.2217429 ,       -110.926479 
418,984799,                   ,                   
419,984813,                   ,                   
420,984825,                   ,                   
421,984874,                   ,                   
422,984772,                   ,                   
423,984969,        33.4483771 ,      -112.0740373 
424,984715,        36.7682088 ,       -76.2874927 
425,984726,            39.203 ,        -76.857981 
426,984750,        39.2903848 ,       -76.6121893 
427,984835,                   ,                   
428,984732,        28.5383355 ,       -81.3792365 
429,984808,                   ,                   
430,984765,        38.9906657 ,        -77.026088 
431,984820,        30.8327022 ,       -83.2784851 
432,984860,        37.1289771 ,       -84.0832646 
433,984848,        38.7073379 ,       -77.0230313 
434,984686,                   ,                   
435,984703,                   ,                   
436,984710,         36.114646 ,       -115.172816 
437,985053,                   ,                   
